날짜,합계,징수차량소계,현금징수소계,일반차량현금징수,경차현금징수,전자태그현금징수,카드(선불후불)소계,일반차량카드(선불후불)징수소계,경차카드(선불후불)징수소계,전자태그카드(선불후불)징수소계,선불카드징수소계,일반차량선불카드징수,경차선불카드징수,전자태그선불카드징수,후불카드징수소계,일반차량후불카드징수,경차후불카드징수,전자태그후불카드징수,쿠폰징수소계,일반차량쿠폰징수,경차쿠폰징수,전자태그쿠폰징수,미징수차량소계,미납차량미징수,면제차량소계,일반면제차량미징수,전자태그면제차량미징수,환불건수
2023-01-02,66623 ,25550 ,5915 ,5651 ,264 ,0 ,19635 ,18906 ,706 ,23 ,3773 ,3679 ,71 ,23 ,15862 ,15227 ,635 ,0 ,0 ,0 ,0 ,0 ,41073 ,489 ,40584 ,33777 ,6807 ,25 
2023-01-03,71443 ,27193 ,6451 ,6118 ,333 ,0 ,20740 ,19981 ,737 ,22 ,3851 ,3755 ,74 ,22 ,16889 ,16226 ,663 ,0 ,2 ,2 ,0 ,0 ,44250 ,480 ,43770 ,36518 ,7252 ,22 
2023-01-04,71223 ,27517 ,6621 ,6292 ,329 ,0 ,20895 ,20183 ,688 ,24 ,3785 ,3698 ,63 ,24 ,17110 ,16485 ,625 ,0 ,1 ,1 ,0 ,0 ,43706 ,513 ,43193 ,35924 ,7269 ,24 
2023-01-05,72536 ,27730 ,6841 ,6527 ,314 ,0 ,20887 ,20177 ,685 ,25 ,3837 ,3729 ,83 ,25 ,17050 ,16448 ,602 ,0 ,2 ,2 ,0 ,0 ,44806 ,468 ,44338 ,37069 ,7269 ,30 
2023-01-06,71983 ,27653 ,7093 ,6706 ,387 ,0 ,20560 ,19844 ,693 ,23 ,3682 ,3586 ,73 ,23 ,16878 ,16258 ,620 ,0 ,0 ,0 ,0 ,0 ,44330 ,535 ,43795 ,36810 ,6985 ,29 
2023-01-09,71374 ,27716 ,6693 ,6384 ,309 ,0 ,21023 ,20328 ,672 ,23 ,3964 ,3870 ,71 ,23 ,17059 ,16458 ,601 ,0 ,0 ,0 ,0 ,0 ,43658 ,507 ,43151 ,36123 ,7028 ,37 
2023-01-10,73587 ,28180 ,6999 ,6641 ,358 ,0 ,21180 ,20473 ,684 ,23 ,3839 ,3746 ,70 ,23 ,17341 ,16727 ,614 ,0 ,1 ,1 ,0 ,0 ,45407 ,512 ,44895 ,37292 ,7603 ,30 
2023-01-11,73727 ,28673 ,7153 ,6835 ,318 ,0 ,21518 ,20764 ,733 ,21 ,3908 ,3821 ,66 ,21 ,17610 ,16943 ,667 ,0 ,2 ,2 ,0 ,0 ,45054 ,509 ,44545 ,37273 ,7272 ,29 
2023-01-12,75182 ,28795 ,7384 ,7065 ,319 ,0 ,21411 ,20680 ,708 ,23 ,3844 ,3752 ,69 ,23 ,17567 ,16928 ,639 ,0 ,0 ,0 ,0 ,0 ,46387 ,571 ,45816 ,38328 ,7488 ,22 
2023-01-13,72159 ,29425 ,7277 ,6949 ,328 ,0 ,22146 ,21383 ,748 ,15 ,3996 ,3910 ,71 ,15 ,18150 ,17473 ,677 ,0 ,2 ,2 ,0 ,0 ,42734 ,596 ,42138 ,34862 ,7276 ,29 
2023-01-16,73730 ,29531 ,7193 ,6859 ,334 ,0 ,22338 ,21583 ,731 ,24 ,4114 ,4019 ,71 ,24 ,18224 ,17564 ,660 ,0 ,0 ,0 ,0 ,0 ,44199 ,532 ,43667 ,36342 ,7325 ,31 
2023-01-17,75935 ,30073 ,7494 ,7157 ,337 ,0 ,22577 ,21776 ,772 ,29 ,4086 ,3974 ,83 ,29 ,18491 ,17802 ,689 ,0 ,2 ,2 ,0 ,0 ,45862 ,559 ,45303 ,37703 ,7600 ,31 
2023-01-18,75223 ,29958 ,7320 ,6965 ,355 ,0 ,22636 ,21852 ,763 ,21 ,4159 ,4057 ,81 ,21 ,18477 ,17795 ,682 ,0 ,2 ,2 ,0 ,0 ,45265 ,528 ,44737 ,37274 ,7463 ,33 
2023-01-19,75258 ,30194 ,7564 ,7181 ,383 ,0 ,22627 ,21801 ,796 ,30 ,4041 ,3925 ,86 ,30 ,18586 ,17876 ,710 ,0 ,3 ,3 ,0 ,0 ,45064 ,528 ,44536 ,36905 ,7631 ,29 
2023-01-20,71566 ,29513 ,7171 ,6821 ,350 ,0 ,22341 ,21504 ,817 ,20 ,3826 ,3713 ,93 ,20 ,18515 ,17791 ,724 ,0 ,1 ,1 ,0 ,0 ,42053 ,647 ,41406 ,34768 ,6638 ,30 
2023-01-25,67943 ,26878 ,6489 ,6146 ,343 ,0 ,20389 ,19624 ,742 ,23 ,3804 ,3715 ,66 ,23 ,16585 ,15909 ,676 ,0 ,0 ,0 ,0 ,0 ,41065 ,478 ,40587 ,33547 ,7040 ,17 
2023-01-26,63064 ,23443 ,5496 ,5196 ,300 ,0 ,17946 ,17358 ,564 ,24 ,3541 ,3456 ,61 ,24 ,14405 ,13902 ,503 ,0 ,1 ,1 ,0 ,0 ,39621 ,467 ,39154 ,33112 ,6042 ,21 
2023-01-27,72966 ,27977 ,6775 ,6452 ,323 ,0 ,21196 ,20406 ,772 ,18 ,3970 ,3872 ,80 ,18 ,17226 ,16534 ,692 ,0 ,6 ,6 ,0 ,0 ,44989 ,570 ,44419 ,37326 ,7093 ,35 
2023-01-30,72328 ,28342 ,6782 ,6398 ,384 ,0 ,21559 ,20826 ,706 ,27 ,4112 ,4015 ,70 ,27 ,17447 ,16811 ,636 ,0 ,1 ,1 ,0 ,0 ,43986 ,487 ,43499 ,35939 ,7560 ,22 
2023-01-31,73928 ,28285 ,7006 ,6687 ,319 ,0 ,21275 ,20510 ,737 ,28 ,4006 ,3907 ,71 ,28 ,17269 ,16603 ,666 ,0 ,4 ,4 ,0 ,0 ,45643 ,541 ,45102 ,37564 ,7538 ,24 
2023-02-01,73440 ,28382 ,6964 ,6600 ,364 ,0 ,21416 ,20672 ,715 ,29 ,3973 ,3880 ,64 ,29 ,17443 ,16792 ,651 ,0 ,2 ,2 ,0 ,0 ,45058 ,538 ,44520 ,37028 ,7492 ,25 
2023-02-02,73658 ,27835 ,6805 ,6460 ,345 ,0 ,21030 ,20299 ,709 ,22 ,3954 ,3856 ,76 ,22 ,17076 ,16443 ,633 ,0 ,0 ,0 ,0 ,0 ,45823 ,498 ,45325 ,37958 ,7367 ,23 
2023-02-03,74091 ,28579 ,6906 ,6557 ,349 ,0 ,21672 ,20866 ,783 ,23 ,3928 ,3810 ,95 ,23 ,17744 ,17056 ,688 ,0 ,1 ,1 ,0 ,0 ,45512 ,551 ,44961 ,37558 ,7403 ,33 
2023-02-06,71072 ,27666 ,6654 ,6299 ,354 ,1 ,21012 ,20288 ,691 ,33 ,4000 ,3904 ,63 ,33 ,17012 ,16384 ,628 ,0 ,0 ,0 ,0 ,0 ,43406 ,483 ,42923 ,35606 ,7317 ,26 
2023-02-07,73446 ,28315 ,7110 ,6773 ,337 ,0 ,21205 ,20462 ,716 ,27 ,3978 ,3882 ,69 ,27 ,17227 ,16580 ,647 ,0 ,0 ,0 ,0 ,0 ,45131 ,494 ,44637 ,37398 ,7239 ,26 
2023-02-08,74811 ,28827 ,7023 ,6636 ,387 ,0 ,21801 ,21051 ,720 ,30 ,4084 ,3994 ,60 ,30 ,17717 ,17057 ,660 ,0 ,3 ,3 ,0 ,0 ,45984 ,493 ,45491 ,37895 ,7596 ,27 
2023-02-09,75468 ,28628 ,7042 ,6702 ,340 ,0 ,21583 ,20779 ,776 ,28 ,4008 ,3908 ,72 ,28 ,17575 ,16871 ,704 ,0 ,3 ,3 ,0 ,0 ,46840 ,524 ,46316 ,38965 ,7351 ,32 
2023-02-10,75218 ,29163 ,7190 ,6848 ,342 ,0 ,21969 ,21168 ,778 ,23 ,3877 ,3782 ,72 ,23 ,18092 ,17386 ,706 ,0 ,4 ,4 ,0 ,0 ,46055 ,556 ,45499 ,38201 ,7298 ,40 
2023-02-13,72237 ,27949 ,6770 ,6419 ,351 ,0 ,21177 ,20436 ,708 ,33 ,4044 ,3946 ,65 ,33 ,17133 ,16490 ,643 ,0 ,2 ,2 ,0 ,0 ,44288 ,514 ,43774 ,36472 ,7302 ,29 
2023-02-14,76035 ,29449 ,7196 ,6847 ,349 ,0 ,22251 ,21459 ,769 ,23 ,4177 ,4077 ,77 ,23 ,18074 ,17382 ,692 ,0 ,2 ,2 ,0 ,0 ,46586 ,568 ,46018 ,38608 ,7410 ,38 
2023-02-15,74609 ,28822 ,7235 ,6905 ,330 ,0 ,21587 ,20827 ,731 ,29 ,4008 ,3930 ,49 ,29 ,17579 ,16897 ,682 ,0 ,0 ,0 ,0 ,0 ,45787 ,557 ,45230 ,38564 ,6666 ,26 
